gene	chrom	start	end
DNMT3A	2	25455830	25565459
TET2	4	106067032	106200973
ASXL1	20	30946147	31027122
JAK2	9	4985033	5128183
TP53	17	7565097	7590856
PPM1D	17	58677544	58743637
SF3B1	2	198254508	198299815
SRSF2	17	74730197	74733493
U2AF1	21	44513066	44527688
CBL	11	119076752	119178859
GNB1	1	1716725	1822495
IDH1	2	209100951	209130798
IDH2	15	90626277	90645736
KRAS	12	25357723	25403870
NRAS	1	115247085	115259515
MPL	1	43803475	43818443
CALR	19	13049393	13056304
GNAS	20	57414773	57486247
BCOR	X	39909068	40036582
STAG2	X	123094475	123236505
